[dns-rebinding:IPv4] [dns] [unknown] forwardproxy.healthhub.sg ["10.250.9.190","10.250.9.62"]
[CVE-2019-2616] [http] [high] https://api01.park.hdb.gov.sg/xmlpserver/ReportTemplateService.xls
[swagger-api] [http] [info] https://api.bookmuseums.nhb.gov.sg/swagger/swagger-ui.js [paths="/swagger/swagger-ui.js"]
[swagger-api] [http] [info] https://api-stg.bookmuseums.nhb.gov.sg/swagger/swagger-ui.js [paths="/swagger/swagger-ui.js"]
[swagger-api] [http] [info] https://app.raas.nhb.gov.sg/api-docs/swagger.yaml [paths="/api-docs/swagger.yaml"]
[swagger-api] [http] [info] https://app.uat.raas.nhb.gov.sg/api-docs/swagger.json [paths="/api-docs/swagger.json"]
[azure-domain-tenant] [http] [info] https://admind@login.microsoftonline.com:443/dsta.gov.sg/v2.0/.well-known/openid-configuration ["f243d967-5133-48d2-bf4b-1e0fad39f5e6"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/cpf.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/dsta.gov.sg/v2.0/.well-known/openid-configuration ["f243d967-5133-48d2-bf4b-1e0fad39f5e6"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/ema.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/healthhub.sg/v2.0/.well-known/openid-configuration ["6ef68169-639f-4d8f-8b7a-c981fab3c31b"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/hdb.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/jtc.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/mfa.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/nhb.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/nparks.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/mci.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/sfa.gov.sg/v2.0/.well-known/openid-configuration ["0b11c524-9a1c-4e1b-84cb-6336aefc2243"]
[azure-domain-tenant] [http] [info] https://login.microsoftonline.com:443/wshc.sg/v2.0/.well-known/openid-configuration ["0af12b50-8f19-4092-8ace-4dce8f8253e0"]
[http-trace:trace-request] [http] [info] https://dev-fe.hdb.gov.sg
[http-trace:options-request] [http] [info] https://dev-fe.hdb.gov.sg
[swagger-api] [http] [info] https://www-stg.bookmuseums.nhb.gov.sg/swagger/swagger-ui.js [paths="/swagger/swagger-ui.js"]
[swagger-api] [http] [info] https://www.bookmuseums.nhb.gov.sg/swagger/swagger-ui.js [paths="/swagger/swagger-ui.js"]
[aspx-debug-mode] [http] [info] https://dlsadmin.dsta.gov.sg/Foobar-debug.aspx
[cookies-without-httponly] [javascript] [info] apigw-qa.jtc.gov.sg ["incap_ses_579_3181082"]
[cookies-without-httponly] [javascript] [info] api.healthhub.sg ["incap_ses_502_2426352"]
[cookies-without-httponly] [javascript] [info] api.ema.gov.sg ["incap_ses_502_2952400"]
[cloudflare-external-image-resize] [http] [info] https://content-hub.healthhub.sg/cdn-cgi/image/width/https://cu76glmsnb8qgmvokgeguiaf7noqigq4j.oast.fun
[cookies-without-httponly] [javascript] [info] cdn.healthhub.sg ["shell","lang"]
[cookies-without-httponly] [javascript] [info] csp.sfa.gov.sg ["ApplicationGatewayAffinityCORS","ApplicationGatewayAffinity"]
[cookies-without-secure] [javascript] [info] csp.sfa.gov.sg ["ApplicationGatewayAffinity"]
[cookies-without-httponly] [javascript] [info] cspqa.jtc.gov.sg ["incap_ses_579_3181083"]
[cookies-without-httponly] [javascript] [info] cxp-cw2.jtc.gov.sg ["shell","lang"]
[cookies-without-httponly] [javascript] [info] dashboards-ga.nparks.gov.sg ["ApplicationGatewayAffinityCORS","ApplicationGatewayAffinity"]
[cookies-without-secure] [javascript] [info] dashboards-ga.nparks.gov.sg ["ApplicationGatewayAffinity"]
[cookies-without-httponly] [javascript] [info] elise.ema.gov.sg ["incap_ses_349_1589434"]
[cookies-without-httponly] [javascript] [info] eservices.healthhub.sg ["incap_ses_333_557820"]
[cookies-without-httponly] [javascript] [info] eservices2-sit.police.gov.sg ["AWSALB","AWSALBCORS"]
[cookies-without-httponly] [javascript] [info] eservices2-uat.police.gov.sg ["AWSALB","AWSALBCORS"]
[cookies-without-httponly] [javascript] [info] eservices2.police.gov.sg ["AWSALB","AWSALBCORS"]
[cookies-without-secure] [javascript] [info] eservices2-sit.police.gov.sg ["AWSALB"]
